PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
0.1209572,0.6627451,0.1913741,0.5897077,0.3023256,0.8313726,199,211,225,c7d3e1
-0.2821663,-0.1921569,-0.6978071,0.06115698,0.7669903,0.4039216,182,82,23,b65217
-0.6653705,-0.1294118,-0.7352107,0.1170703,1,0.4352941,222,156,0,de9c00
-0.4651424,-0.1921569,-0.2803284,0.1636772,0.5533981,0.4039216,160,158,46,a09e2e
-0.6277177,-0.1764706,-0.7459639,0.1113337,0.9904762,0.4117647,209,140,0,d18c00
0.07116114,0.4666667,0.05679095,0.6428,0.1029412,0.7333333,180,182,194,b4b6c2
0.1347921,0.6941177,0.1757598,0.604125,0.3076923,0.8470588,204,213,228,ccd5e4
-0.62193,-0.172549,-0.7517473,0.1100038,0.9905213,0.4137255,210,139,1,d28b01
0.03687348,0.4941177,-0.02942729,0.8572,0.05426356,0.7470589,194,187,193,c2bbc1
-0.2300051,0.3607843,-0.4285263,0.07840002,0.5214724,0.6803921,216,171,130,d8ab82
0.1028997,0.6039217,0.1865769,0.5802148,0.2673267,0.8019608,191,205,218,bfcdda
0.1131261,0.6235294,0.178984,0.5897077,0.2708333,0.8117647,194,206,220,c2cedc
-0.1965618,-0.4039215,-0.2278501,0.113288,0.3289474,0.2980392,101,85,51,655533
0.1090524,0.6705883,0.1156589,0.6203222,0.2142857,0.8352941,204,209,222,ccd1de
-0.2395149,-0.2549019,-0.2773143,0.1133806,0.3789473,0.372549,131,108,59,836c3b
-0.05355351,0.8392158,-0.1066833,0.07404449,0.2195122,0.9196079,239,234,230,efeae6
-0.6253673,-0.1647059,-0.7507353,0.1105403,0.9906103,0.4176471,212,141,1,d48d01
0.02106763,0.8117647,0.01217517,0.6666,0.04166667,0.9058824,230,230,232,e6e6e8
-0.5787424,-0.490196,-0.5195637,0.1335673,0.8923077,0.254902,123,100,7,7b6407
0.00657433,0.4392157,-0.1569221,0.993336,0.1748252,0.7196078,196,170,171,c4aaab
-0.6092183,-0.1333333,-0.7240146,0.1113299,0.954751,0.4333333,215,146,5,d79205
0.01116185,0.7803922,-0.01934225,0.9167,0.03571429,0.8901961,228,226,227,e4e2e3
-0.6187096,-0.1411765,-0.7377675,0.1110667,0.9726027,0.4294118,216,145,3,d89103
0.07522721,0.3921568,0.09936726,0.6031333,0.1354839,0.6960784,166,174,188,a6aebc
-0.3891706,-0.5686275,-0.2520168,0.1585388,0.5636364,0.2156863,85,83,23,555317
2.052625E-09,0.1176471,-0.1721296,1,0.1733334,0.5588235,162,122,122,a27a7a
-0.6288576,-0.1411765,-0.7645962,0.1095452,1,0.4294118,219,144,0,db9000
-0.6172913,-0.1294118,-0.7530543,0.1092835,0.981982,0.4352941,220,144,1,dc9001
0.1131786,0.7098039,0.1761978,0.5908727,0.2972973,0.854902,207,217,229,cfd9e5
-0.06974199,0.9019608,-0.1389321,0.07404449,0.36,0.9509804,247,242,238,f7f2ee
-0.03461777,-0.02352941,0.01035949,0.2962778,0.03614461,0.4882353,121,129,119,798177
