PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
-0.04019496,0.3294117,-0.2003045,0.0315189,0.2163742,0.6647059,187,157,151,bb9d97
-0.3624781,-0.1647059,-0.6620748,0.07972272,0.7652582,0.4176471,188,103,25,bc6719
0.08704341,0.6627451,0.1508366,0.5833,0.2325581,0.8313726,202,212,222,cad4de
-0.6699673,-0.05098039,-0.7406381,0.117033,1,0.4745098,242,169,0,f2a900
-0.6093492,-0.2156863,-0.7504658,0.1085424,0.99,0.3921569,199,129,0,c78100
-0.1388415,-0.04313719,-0.07022933,0.1754684,0.1557377,0.4784314,139,141,103,8b8d67
-0.7746029,0.09803927,-0.6248028,0.1419722,0.9999999,0.5490196,255,221,25,ffdd19
0.01922391,0.427451,-0.07177468,0.95835,0.08219178,0.7137255,188,176,179,bcb0b3
-0.6597048,-0.1058823,-0.7440285,0.1154509,1,0.4470588,228,157,0,e49d00
-0.1683701,-0.2509804,-0.1217691,0.1503464,0.2146597,0.3745098,116,112,75,74704b
0.05959196,0.3333334,0.08008868,0.6018111,0.1058824,0.6666667,161,168,179,a1a8b3
-0.3413661,-0.02745098,-0.6674918,0.0752387,0.75,0.4862745,217,114,31,d9721f
0.06594633,0.3921568,0.1329095,0.573304,0.1612903,0.6960784,164,178,190,a4b2be
-0.2895465,0.0196079,-0.6938656,0.0629181,0.752,0.509804,224,107,36,e06b24
-0.596016,-0.2431372,-0.7652772,0.105312,1,0.3784314,193,122,0,c17a00
-0.6918656,-0.09019607,-0.6923001,0.12495,0.9827586,0.454902,230,173,1,e6ad01
-0.7091004,-0.5098039,-0.4097954,0.1666,0.952,0.2450981,122,122,2,7a7a02
-0.7126873,-0.01176471,-0.7013833,0.1262722,1,0.4941176,252,191,0,fcbf00
-0.472912,-0.3294117,-0.6866601,0.09598806,0.883041,0.3352941,161,96,9,a16009
